<GROUP>,,
</GROUP>,,
<ERRCODE>,,
0001,"故障
·硬件異常","檢查是否有噪聲等影響。"
0002,"內部梯形圖異常
·硬件異常","檢查是否有噪聲等影響。"
0065,"運行中可編程控制器就緒OFF
·運行中可編程控制器就緒信號(Y0)為OFF狀態。","修改可編程控制器就緒信號(Y0)設置為ON/OFF時的程序。"
0066,"驅動器模塊就緒OFF
·在驅動器模塊就緒信號設置為OFF的狀態下執行了啟動請求。
·運行中驅動器模塊就緒信號為OFF狀態。","＜驅動器模塊就緒信號為OFF的狀態時執行了啟動請求時＞
·確認驅動器模塊的電源狀態、與驅動器模塊的布線狀態以及連接器的連接狀態。
·確認輸入信號邏輯選擇的設定值。
·使用不具有就緒輸出的驅動器模塊時，執行布線操作，使QD75N的驅動器模塊就緒信號輸入為始終ON狀態。
＜運行中驅動器模塊就緒信號為OFF狀態時＞
確認驅動器模塊的電源狀態、驅動器模塊的布線以及連接器的連接狀態。"
0067,"運行中測試模式異常
·無法在計算機與CPU模塊之間通信。","·確認連接了電纜的計算機側的I/F中是否存在異常。
·計算機與CPU模塊間的通信可能會花費較長時間，因此GX Configurator-QP或GX Works2的連接目標設置中將傳送速度設置為高速，將計算機與CPU模塊的通信I/F直接連接等，盡可能確保高速的線路狀態。
·停止從GX Developer或GX Woks2對CPU模塊的訪問(監視功能等)，降低通信線路的負載。"
0068,"硬件行程限位+
·在硬件行程限位(上限值信號FLS)為OFF的狀態下執行了啟動請求。
·運行中硬件行程限位(上限值信號FLS)為OFF狀態。","＜硬件行程限位(上限值信號FLS)為OFF狀態時執行了啟動請求時＞
·確認上限值信號(FLS)的布線狀態。
·確認限位開關的規格與輸入信號邏輯選擇的設置是否匹配。
·不需要設置硬件行程限位(限位開關)的系統中，執行布線操作，使QD75N的上限值信號(FLS)輸入為始終ON狀態。
＜運行中硬件行程限位(上限值信號FLS)為OFF狀態時＞
請執行軸錯誤覆位後，根據手動控制運行，移動到上限值信號(FLS)非OFF狀態的位置。"
0069,"硬件行程限位-
·硬件行程限位(下限值信號RLS)為OFF狀態時執行了啟動請求。
·運行中硬件行程限位(下限值信號RLS)為OFF狀態。","＜硬件行程限位(下限值信號RLS)為OFF狀態時執行了啟動請求時＞
·確認下限值信號(RLS)的布線狀態。
·確認限位開關的規格與輸入信號邏輯選擇的設置是否匹配。
·不需要設置硬件行程限位(限位開關)的系統中，執行布線操作，使QD75N的下限值信號(RLS)輸入為始終ON狀態。
＜運行中硬件行程限位(下限值信號RLS)為OFF狀態時＞
·請執行軸錯誤覆位後，根據手動控制運行，移動到下限值信號(RLS)非OFF狀態的位置。"
006A,"啟動時停止信號ON
·停止信號為ON狀態時執行了啟動請求。","解除停止指令後，重新設置時間進行啟動。
　向QD75N的輸出信號...軸1:Y4、軸2:Y5、軸3:Y6、軸4:Y7
　外部輸入...用於連接外部設備的連接器:停止信號(STOP)"
006B,"BUSY中可編程控制器就緒OFF→ON
·BUSY信號為ON的狀態下，對可編程控制器就緒信號執行了OFF→ON的操作。",所有軸的BUSY信號為OFF的狀態下，可編程控制器就緒信號(Y0)設為ON。
00C9,"原點上啟動
·設置原點回歸重試禁用時，在原點回歸完成標志為ON的狀態下，啟動了近點DOG型的機械原點回歸。","·將原點回歸重試功能設為啟用(設定值:1)。
·根據手動控制運行，從當前位置(原點)開始移動後執行機械原點回歸。"
